planet_name,default_flag,discovery_method,discovery_year,solution_type,pl_controv_flag,orbital_period_days,orbital_distance_au,planet_mass_earth,planet_mass_jupiter
HD 154672 b,1,Radial Velocity,2008,Published Confirmed,0,163.94,0.6,1706.7471,5.37
HD 154857 b,1,Radial Velocity,2004,Published Confirmed,0,408.60001,1.29,778.6835,2.45
HD 154857 c,1,Radial Velocity,2014,Published Confirmed,0,3452.0,5.36,819.97,2.58
HD 155193 b,1,Radial Velocity,2021,Published Confirmed,0,352.65,1.04,238.37130525,0.75
HD 155358 b,1,Radial Velocity,2007,Published Confirmed,0,194.3,0.63,314.6517,0.99
HD 155358 c,1,Radial Velocity,2007,Published Confirmed,0,391.9,1.02,261.0,0.82
HD 155918 b,1,Radial Velocity,2022,Published Confirmed,0,1.87567,0.03,7.62788177,0.024
HD 155918 c,1,Radial Velocity,2022,Published Confirmed,0,17202.19446,13.183,1878.04805696,5.909
HD 156098 b,1,Radial Velocity,2022,Published Confirmed,0,21.85849,0.167,15.89142035,0.05
HD 156098 c,1,Radial Velocity,2022,Published Confirmed,0,7841.5839,8.415,1661.6069118,5.228
HD 156279 b,1,Radial Velocity,2011,Published Confirmed,0,133.40355,0.502,2997.75753482,9.432
HD 156279 c,1,Radial Velocity,2016,Published Confirmed,0,4818.25358,5.486,3098.82696825,9.75
HD 156411 b,1,Radial Velocity,2009,Published Confirmed,0,842.2,1.88,235.18,0.74
HD 156668 b,1,Radial Velocity,2010,Published Confirmed,0,4.6455,0.05,4.15,0.013
HD 156668 c,1,Radial Velocity,2021,Published Confirmed,0,811.3,1.57,31.49679513,0.0991
HD 156846 b,1,Radial Velocity,2007,Published Confirmed,0,359.51001,1.12,3391.2461,10.67
HD 158038 b,1,Radial Velocity,2011,Published Confirmed,0,521.0,1.5,486.2799,1.53
HD 158996 b,1,Radial Velocity,2018,Published Confirmed,0,820.2,2.1,4449.62,14.0
HD 15906 b,1,Transit,2023,Published Confirmed,0,10.924709,0.09,,
HD 15906 c,1,Transit,2023,Published Confirmed,0,21.583298,0.141,,
HD 159243 b,1,Radial Velocity,2013,Published Confirmed,0,12.62,0.11,359.13,1.13
HD 159243 c,1,Radial Velocity,2013,Published Confirmed,0,248.4,0.8,603.9,1.9
HD 159868 b,1,Radial Velocity,2006,Published Confirmed,0,1184.1,2.32,704.94694,2.218
HD 159868 c,1,Radial Velocity,2012,Published Confirmed,0,351.0,1.032,244.09344,0.768
HD 1605 b,1,Radial Velocity,2015,Published Confirmed,0,577.2,1.492,296.85322,0.934
HD 1605 c,1,Radial Velocity,2015,Published Confirmed,0,2149.0,3.584,1150.5446,3.62
HD 161178 b,1,Radial Velocity,2021,Published Confirmed,0,279.3,0.85,181.16219199,0.57
HD 16141 b,1,Radial Velocity,2000,Published Confirmed,0,75.523,0.36,82.6358,0.26
HD 16175 b,1,Radial Velocity,2009,Published Confirmed,0,990.0,2.12,1620.933,5.1
HD 162020 b,1,Radial Velocity,2002,Published Confirmed,0,8.4282,0.08,3127.4472,9.84
HD 163607 b,1,Radial Velocity,2012,Published Confirmed,0,75.2203,0.362,249.051588,0.7836
HD 163607 c,1,Radial Velocity,2012,Published Confirmed,0,1272.0,2.39,699.54383,2.201
HD 16417 b,1,Radial Velocity,2008,Published Confirmed,0,17.24,0.14,22.1,0.0696
HD 164509 b,1,Radial Velocity,2012,Published Confirmed,0,280.17,0.87,140.79869,0.443
HD 164595 b,1,Radial Velocity,2015,Published Confirmed,0,40.0,0.23,16.14,0.05078186
HD 164604 b,1,Radial Velocity,2009,Published Confirmed,0,653.9,1.362,4195.3349724,13.2
HD 164604 c,1,Radial Velocity,2026,Published Confirmed,0,5387.0,5.556,3019.3698665,9.5
HD 164922 b,1,Radial Velocity,2005,Published Confirmed,0,1207.0,2.16,116.0,0.36497499
HD 164922 c,1,Radial Velocity,2016,Published Confirmed,0,75.74,0.341,13.0,0.04090237
HD 164922 d,1,Radial Velocity,2020,Published Confirmed,0,12.458,0.103,4.0,0.01258534
HD 164922 e,1,Radial Velocity,2021,Published Confirmed,0,41.763,0.2292,10.52012027,0.0331
HD 165131 b,1,Radial Velocity,2023,Published Confirmed,0,2342.6,3.54,5943.3912109,18.7
HD 165155 b,1,Radial Velocity,2016,Published Confirmed,0,434.5,1.13,918.5287,2.89
HD 1666 b,1,Radial Velocity,2015,Published Confirmed,0,270.0,0.94,2040.0,6.43
HD 166724 b,1,Radial Velocity,2012,Published Confirmed,0,5144.0,5.42,1121.89,3.53
HD 167042 b,1,Radial Velocity,2007,Published Confirmed,0,417.67,1.22,444.00628458,1.397
HD 16760 b,1,Radial Velocity,2009,Published Confirmed,1,466.08,1.156,6833.3107505,21.5
HD 167677 b,1,Radial Velocity,2023,Published Confirmed,0,1820.0,2.877,905.81095995,2.85
HD 167768 b,1,Radial Velocity,2022,Published Confirmed,0,20.6532,0.1512,270.15414595,0.85
HD 168009 b,1,Radial Velocity,2021,Published Confirmed,0,15.1479,0.1192,9.53485221,0.03
HD 168443 b,1,Radial Velocity,1998,Published Confirmed,0,58.11187,0.292,2424.3950886,7.628
HD 168443 c,1,Radial Velocity,2000,Published Confirmed,0,1753.1096,2.842,5500.33841154,17.306
HD 168746 b,1,Radial Velocity,2002,Published Confirmed,0,6.404,0.07,85.8141,0.27
HD 168863 b,1,Radial Velocity,2022,Published Confirmed,0,14773.93272,10.961,2154.87659946,6.78
HD 1690 b,1,Radial Velocity,2010,Published Confirmed,0,533.0,1.36,2793.7257,8.79
HD 16905 b,1,Radial Velocity,2022,Published Confirmed,0,10256.0,8.8,3591.4609991,11.3
HD 169830 b,1,Radial Velocity,2000,Published Confirmed,0,225.67372,0.765,804.42369812,2.531
HD 169830 c,1,Radial Velocity,2003,Published Confirmed,0,1818.82339,3.075,2437.42605328,7.669
HD 170469 b,1,Radial Velocity,2007,Published Confirmed,0,1145.0,2.24,209.7678,0.66
HD 17092 b,1,Radial Velocity,2007,Published Confirmed,0,359.89999,1.31,3219.6179,10.13
HD 171028 b,1,Radial Velocity,2007,Published Confirmed,0,550.0,1.32,832.7146,2.62
HD 171238 b,1,Radial Velocity,2009,Published Confirmed,0,1515.0,2.518,2796.8899816,8.8
HD 17156 b,1,Radial Velocity,2007,Published Confirmed,0,21.2164294,0.1632,1036.12060682,3.26
HD 173416 b,1,Radial Velocity,2008,Published Confirmed,0,322.03,1.158,585.12209729,1.841
HD 174205 b,1,Radial Velocity,2022,Published Confirmed,0,582.0,1.7,1334.8793094,4.2
HD 175541 b,1,Radial Velocity,2007,Published Confirmed,0,298.43,0.975,190.06234,0.598
HD 17674 b,1,Radial Velocity,2017,Published Confirmed,0,623.8,1.42,276.5121,0.87
HD 176986 b,1,Radial Velocity,2017,Published Confirmed,0,6.49164,0.062956,5.36,0.01686445
HD 176986 c,1,Radial Velocity,2017,Published Confirmed,0,16.8124,0.11873,9.75,0.03067693
HD 176986 d,1,Radial Velocity,2026,Published Confirmed,0,61.376,0.28149,6.76,0.02126934
HD 177565 b,1,Radial Velocity,2017,Published Confirmed,0,44.505,0.246,15.1,0.04750967
HD 177830 b,1,Radial Velocity,1999,Published Confirmed,0,410.10001,1.14,537.1327,1.69
HD 177830 c,1,Radial Velocity,2010,Published Confirmed,0,110.9,0.5137,47.6725,0.15
HD 178911 B b,1,Radial Velocity,2001,Published Confirmed,0,71.484,0.34,2552.1749,8.03
HD 179079 b,1,Radial Velocity,2008,Published Confirmed,0,14.479,0.1214,25.74423,0.081
HD 179949 b,1,Radial Velocity,2000,Published Confirmed,0,3.092514,0.0443,291.12,0.916
HD 180053 b,1,Radial Velocity,2018,Published Confirmed,0,213.72,0.843,697.31902,2.194
HD 18015 b,1,Radial Velocity,2018,Published Confirmed,0,2278.0,3.87,1010.6994,3.18
HD 180314 b,1,Radial Velocity,2010,Published Confirmed,0,394.73,1.448,7216.92963775,22.707
HD 180617 b,1,Radial Velocity,2018,Published Confirmed,0,105.911,0.343,12.214,0.03842935
HD 180902 b,1,Radial Velocity,2009,Published Confirmed,0,510.9,1.4,535.54355,1.685
HD 181234 b,1,Radial Velocity,2019,Published Confirmed,0,7593.40512,7.427,2980.91262925,9.379
HD 181342 b,1,Radial Velocity,2009,Published Confirmed,0,564.1,1.592,807.2882,2.54
HD 18143 b,1,Radial Velocity,2022,Published Confirmed,0,10.2851,0.088,10.80616584,0.034
HD 18143 c,1,Radial Velocity,2022,Published Confirmed,0,28982.41764,17.53,3177.64841319,9.998
HD 181433 b,1,Radial Velocity,2008,Published Confirmed,0,9.3745,0.0828,7.22,0.02271666
HD 181433 c,1,Radial Velocity,2008,Published Confirmed,0,1018.5,1.885,235.5,0.74096586
HD 181433 d,1,Radial Velocity,2008,Published Confirmed,0,6896.1,6.74,206.91,0.65101166
HD 181720 b,1,Radial Velocity,2009,Published Confirmed,0,956.0,1.85,127.132,0.4
HD 183263 b,1,Radial Velocity,2004,Published Confirmed,0,624.87404,1.46,1103.1824007,3.471
HD 183263 c,1,Radial Velocity,2008,Published Confirmed,0,4667.97841,5.585,2958.98246917,9.31
HD 183579 b,1,Transit,2021,Published Confirmed,0,17.471291,0.1322,20.4,0.06418558
HD 184010 b,1,Radial Velocity,2022,Published Confirmed,0,286.6,0.94,98.52680617,0.31
HD 184010 c,1,Radial Velocity,2022,Published Confirmed,0,484.3,1.334,95.3485221,0.3
HD 184010 d,1,Radial Velocity,2022,Published Confirmed,0,836.4,1.92,143.02278315,0.45
HD 18438 b,1,Radial Velocity,2023,Published Confirmed,0,803.0,2.1,6674.396547,21.0
HD 185269 b,1,Radial Velocity,2006,Published Confirmed,0,6.83776,0.077,321.0083,1.01
HD 185283 b,1,Radial Velocity,2023,Published Confirmed,0,4060.0,4.6,413.1769291,1.3
HD 18599 b,1,Transit,2022,Published Confirmed,0,4.1374354,0.048,24.1,0.07582708
HD 187085 b,1,Radial Velocity,2006,Published Confirmed,0,1019.74,2.1,265.70588,0.836
HD 187123 b,1,Radial Velocity,1998,Published Confirmed,0,3.0965828,0.0426,166.218,0.523
HD 187123 c,1,Radial Velocity,2008,Published Confirmed,0,3810.0,4.89,632.46,1.99
HD 18742 b,1,Radial Velocity,2011,Published Confirmed,0,766.0,1.82,1080.622,3.4
HD 188015 b,1,Radial Velocity,2004,Published Confirmed,0,461.2,1.203,476.72,1.5
HD 188641 b,1,Radial Velocity,2022,Published Confirmed,0,14583.81038,12.027,9333.03117155,29.365
HD 189567 b,1,Radial Velocity,2021,Published Confirmed,0,14.288,0.111,8.5,0.02674399
HD 189567 c,1,Radial Velocity,2021,Published Confirmed,0,33.688,0.197,7.0,0.02202446
HD 190228 b,1,Radial Velocity,2022,Published Confirmed,0,1143.59858,2.406,1598.67688721,5.03
HD 190360 b,1,Radial Velocity,2003,Published Confirmed,0,2887.5,3.965,537.0,1.68959095
HD 190360 c,1,Radial Velocity,2005,Published Confirmed,0,17.11625,0.1298,26.2,0.08243442
HD 190360 d,1,Radial Velocity,2026,Published Confirmed,0,88.69,0.3886,11.9,0.03744159
HD 190647 b,1,Radial Velocity,2007,Published Confirmed,0,1176.45,2.231,630.89255,1.985
HD 190984 b,1,Radial Velocity,2009,Published Confirmed,0,4885.0,5.5,985.2,3.1
HD 191806 b,1,Radial Velocity,2016,Published Confirmed,0,1603.38923,2.749,2966.61035094,9.334
HD 191939 b,1,Transit,2020,Published Confirmed,0,8.8803256,0.0804,10.0,0.03146352
HD 191939 c,1,Transit,2020,Published Confirmed,0,28.579743,0.1752,8.0,0.02517081
HD 191939 d,1,Transit,2020,Published Confirmed,0,38.353037,0.2132,2.8,0.00880979
HD 191939 e,1,Radial Velocity,2022,Published Confirmed,0,101.12,0.407,112.2,0.35302068
HD 191939 f,1,Radial Velocity,2022,Published Confirmed,0,2898.0,3.71,915.34581216,2.88
HD 191939 g,1,Radial Velocity,2022,Published Confirmed,0,284.0,0.812,13.5,0.04247575
HD 192263 b,1,Radial Velocity,1999,Published Confirmed,0,24.3556,0.15,177.9848,0.56
HD 192310 b,1,Radial Velocity,2011,Published Confirmed,0,74.72,0.32,16.9,0.0532
HD 192310 c,1,Radial Velocity,2011,Published Confirmed,0,525.8,1.18,24.0,0.076
HD 192699 b,1,Radial Velocity,2007,Published Confirmed,0,340.94,1.063,666.17168,2.096
HD 194490 b,1,Radial Velocity,2022,Published Confirmed,0,13092.18348,11.116,3561.90295725,11.207
HD 195019 b,1,Radial Velocity,1998,Published Confirmed,0,18.20132,0.14,1264.9634,3.98
HD 196050 b,1,Radial Velocity,2002,Published Confirmed,0,1392.0,2.65,1493.7935129,4.7
HD 196067 b,1,Radial Velocity,2012,Published Confirmed,0,3413.7,4.71,3623.2438398,11.4
HD 19615 b,1,Radial Velocity,2022,Published Confirmed,0,402.0,1.1,2701.5414595,8.5
HD 196885 A b,1,Radial Velocity,2007,Published Confirmed,0,1333.0,2.37,819.97,2.58
HD 197037 b,1,Radial Velocity,2012,Published Confirmed,0,1035.7,2.07,251.0,0.79
HD 199509 b,1,Radial Velocity,2022,Published Confirmed,0,99.62167,0.426,43.22466335,0.136
HD 19994 b,1,Radial Velocity,2003,Published Confirmed,0,466.2,1.305,435.41,1.37
HD 20003 b,1,Radial Velocity,2019,Published Confirmed,0,11.8482,0.0974,11.66,0.0367
HD 20003 c,1,Radial Velocity,2019,Published Confirmed,0,33.9239,0.1964,14.44,0.0454
HD 200964 b,1,Radial Velocity,2010,Published Confirmed,0,606.3,1.565,508.21017,1.599
HD 200964 c,1,Radial Velocity,2010,Published Confirmed,0,852.5,1.96,385.84562,1.214
HD 202206 c,1,Radial Velocity,2004,Published Confirmed,0,1260.0,2.41,5689.157,17.9
HD 202696 b,1,Radial Velocity,2019,Published Confirmed,0,517.8,1.566,634.38868,1.996
HD 202696 c,1,Radial Velocity,2019,Published Confirmed,0,946.6,2.342,592.43512,1.864
HD 202772 A b,1,Transit,2019,Published Confirmed,0,3.3088775,0.05208,323.54931833,1.018
HD 20329 b,1,Transit,2022,Published Confirmed,0,0.926118,0.018,7.42,0.02334593
HD 203387 b,1,Radial Velocity,2022,Published Confirmed,0,512.5352,1.771,1106.04285636,3.48
HD 203387 c,1,Radial Velocity,2022,Published Confirmed,0,2481.07227,5.067,2378.9456264,7.485
HD 2039 b,1,Radial Velocity,2002,Published Confirmed,0,1120.0,2.2,1999.1507,6.29
HD 204313 b,1,Radial Velocity,2010,Published Confirmed,0,2041.11539,3.185,1466.7780983,4.615
HD 204313 c,1,Radial Velocity,2015,Published Confirmed,0,34.95875,0.211,17.16273398,0.054
HD 204313 e,1,Radial Velocity,2022,Published Confirmed,0,7325.64666,7.457,4868.17771002,15.317
HD 204941 b,1,Radial Velocity,2011,Published Confirmed,0,1733.0,2.55,73.1009,0.23
HD 205158 b,1,Radial Velocity,2022,Published Confirmed,0,25.33798,0.177,124.58873554,0.392
HD 205739 b,1,Radial Velocity,2008,Published Confirmed,0,279.8,0.896,435.41,1.37
HD 206255 b,1,Radial Velocity,2019,Published Confirmed,0,96.045,0.461,34.2,0.10760469
HD 206610 b,1,Radial Velocity,2009,Published Confirmed,0,673.2,1.74,647.10188,2.036
HD 206893 b,1,Imaging,2021,Published Confirmed,0,11100.0,10.75,6197.6539365,19.5
HD 206893 c,1,Imaging,2022,Published Confirmed,0,2290.0,3.74,3527.8953177,11.1
HD 207496 b,1,Transit,2023,Published Confirmed,0,6.441008,0.0629,6.1,0.01919275
HD 20781 b,1,Radial Velocity,2019,Published Confirmed,0,5.3135,0.0529,1.93,0.0061
HD 20781 c,1,Radial Velocity,2019,Published Confirmed,0,13.8905,0.1004,5.33,0.0168
HD 20781 d,1,Radial Velocity,2019,Published Confirmed,0,29.158,0.1647,10.61,0.0334
HD 20781 e,1,Radial Velocity,2019,Published Confirmed,0,85.5073,0.3374,14.03,0.0442
HD 20782 b,1,Radial Velocity,2006,Published Confirmed,0,597.0643,1.3649,472.83,1.4878
HD 207832 b,1,Radial Velocity,2012,Published Confirmed,0,160.07,0.586,177.9848,0.56
HD 207832 c,1,Radial Velocity,2012,Published Confirmed,0,1155.7,2.112,232.0159,0.73
HD 207897 b,1,Transit,2021,Published Confirmed,0,16.20166,0.117,14.8,0.04656601
HD 20794 b,1,Radial Velocity,2011,Published Confirmed,0,18.314,0.1257,2.15,0.00676466
HD 20794 d,1,Radial Velocity,2011,Published Confirmed,0,89.68,0.3625,2.98,0.00937613
HD 20794 e,1,Radial Velocity,2017,Published Confirmed,1,147.02,0.509,4.77,0.01500802
HD 20794 f,1,Radial Velocity,2025,Published Confirmed,0,647.6,1.3541,5.82,0.01831177
HD 208487 b,1,Radial Velocity,2004,Published Confirmed,0,129.36,0.53,146.20106722,0.46
HD 208527 b,1,Radial Velocity,2012,Published Confirmed,0,875.5,2.1,3146.4,9.9
HD 20868 b,1,Radial Velocity,2008,Published Confirmed,0,380.85001,0.95,397.2875,1.25
HD 208897 b,1,Radial Velocity,2017,Published Confirmed,0,358.27,1.063,379.48711796,1.194
HD 210193 b,1,Radial Velocity,2019,Published Confirmed,0,649.918,1.487,153.1,0.48170406
HD 210277 b,1,Radial Velocity,1998,Published Confirmed,0,442.19,1.13,410.0007,1.29
HD 210702 b,1,Radial Velocity,2007,Published Confirmed,0,355.5,1.079,481.5100366,1.515
HD 211403 b,1,Radial Velocity,2021,Published Confirmed,0,223.8,0.768,1760.76937478,5.54
HD 211810 b,1,Radial Velocity,2018,Published Confirmed,0,1558.0,2.656,212.9461,0.67
HD 211970 b,1,Radial Velocity,2019,Published Confirmed,0,25.201,0.143,13.0,0.04090237
HD 212301 b,1,Radial Velocity,2005,Published Confirmed,0,2.24571,0.03,162.0933,0.51
HD 212771 b,1,Radial Velocity,2009,Published Confirmed,0,380.7,1.19,759.6137,2.39
HD 213240 b,1,Radial Velocity,2001,Published Confirmed,0,882.70001,1.89,1773.4914,5.58
HD 213472 b,1,Radial Velocity,2021,Published Confirmed,0,17000.0,13.0,1112.3994245,3.5
HD 213519 b,1,Radial Velocity,2022,Published Confirmed,0,11.12214,0.099,9.2170238,0.029
HD 213885 b,1,Transit,2019,Published Confirmed,0,1.008035,0.02012,8.83,0.02778215
HD 213885 c,1,Radial Velocity,2019,Published Confirmed,0,4.78503,0.056798,19.95,0.06276941
HD 21411 b,1,Radial Velocity,2019,Published Confirmed,0,84.288,0.362,65.9,0.20734355
HD 214823 b,1,Radial Velocity,2016,Published Confirmed,0,1854.84424,3.08,5914.78665427,18.61
HD 215152 b,1,Radial Velocity,2018,Published Confirmed,0,5.75999,0.057638,1.819,0.00572319
HD 215152 c,1,Radial Velocity,2018,Published Confirmed,0,7.28243,0.067393,1.72,0.0054117
HD 215152 d,1,Radial Velocity,2018,Published Confirmed,0,10.86499,0.08799,2.801,0.00881289
HD 215152 e,1,Radial Velocity,2018,Published Confirmed,0,25.1967,0.15417,2.877,0.00905201
HD 21520 b,1,Transit,2024,Published Confirmed,0,25.1292,0.1726,17.7,0.05569043
HD 215497 b,1,Radial Velocity,2009,Published Confirmed,0,3.93404,0.05,6.3566,0.02
HD 215497 c,1,Radial Velocity,2009,Published Confirmed,0,566.0,1.31,111.23994245,0.35
HD 216435 b,1,Radial Velocity,2002,Published Confirmed,0,1311.0,2.56,400.4,1.26
HD 216437 b,1,Radial Velocity,2002,Published Confirmed,0,1359.0,2.57,1334.8793094,4.2
HD 216520 b,1,Radial Velocity,2020,Published Confirmed,0,35.45,0.198,10.26,0.03228141
HD 216520 c,1,Radial Velocity,2020,Published Confirmed,0,154.43,0.528,9.44,0.02970141
HD 216536 b,1,Radial Velocity,2015,Published Confirmed,0,148.60001,0.61,333.7215,1.05
HD 216770 b,1,Radial Velocity,2003,Published Confirmed,0,118.45,0.46,181.1631,0.57
HD 21693 b,1,Radial Velocity,2019,Published Confirmed,0,22.6786,0.1455,8.23,0.0259
HD 21693 c,1,Radial Velocity,2019,Published Confirmed,0,53.7357,0.2586,17.37,0.0547
HD 217107 b,1,Radial Velocity,1998,Published Confirmed,0,7.1270166,0.07359,459.57987652,1.446
HD 217107 c,1,Radial Velocity,2005,Published Confirmed,0,5138.7,5.922,1388.91013859,4.37
HD 21749 c,1,Transit,2019,Published Confirmed,0,7.78993,0.0695,3.7,0.01164144
HD 217786 b,1,Radial Velocity,2011,Published Confirmed,0,1301.36009,2.446,4402.55909376,13.852
HD 217786 c,1,Radial Velocity,2022,Published Confirmed,0,2.52221,0.038,7.31005336,0.023
HD 217958 b,1,Radial Velocity,2022,Published Confirmed,0,2560.19774,3.758,166.54208527,0.524
HD 218566 b,1,Radial Velocity,2010,Published Confirmed,0,225.7,0.69,63.566,0.2
HD 219077 b,1,Radial Velocity,2012,Published Confirmed,0,5478.68861,5.935,3057.50927534,9.62
HD 219134 b,1,Radial Velocity,2015,Published Confirmed,0,3.092926,0.03876,4.74,0.01491363
HD 219134 c,1,Radial Velocity,2015,Published Confirmed,0,6.76458,0.0653,4.36,0.01371803
HD 219134 d,1,Radial Velocity,2015,Published Confirmed,0,46.859,0.237,16.17,0.05087625
HD 219134 f,1,Radial Velocity,2015,Published Confirmed,1,22.717,0.1463,7.3,0.02296825
HD 219134 g,1,Radial Velocity,2015,Published Confirmed,1,94.2,0.3753,10.80622,0.034
HD 219134 h,1,Radial Velocity,2015,Published Confirmed,0,2247.0,3.11,108.0622,0.34
HD 219139 b,1,Radial Velocity,2021,Published Confirmed,0,275.5,0.94,247.90615746,0.78
HD 219415 b,1,Radial Velocity,2012,Published Confirmed,0,2093.3,3.2,317.83,1.0
HD 219828 b,1,Radial Velocity,2007,Published Confirmed,0,3.83483,0.049,19.06970442,0.06
HD 219828 c,1,Radial Velocity,2016,Published Confirmed,0,4789.87297,5.657,5102.41724598,16.054
HD 220074 b,1,Radial Velocity,2012,Published Confirmed,0,672.09998,1.6,5288.6912,16.64
HD 220197 b,1,Radial Velocity,2018,Published Confirmed,0,1728.0,2.729,63.566,0.2
HD 220689 b,1,Radial Velocity,2012,Published Confirmed,0,2266.4,3.396,355.33394,1.118
HD 220773 b,1,Radial Velocity,2011,Published Confirmed,0,3724.7,4.94,460.8,1.45
HD 220842 b,1,Radial Velocity,2016,Published Confirmed,0,218.47,0.74,1010.6994,3.18
HD 221287 b,1,Radial Velocity,2007,Published Confirmed,0,456.1,1.25,982.05,3.09
HD 221416 b,1,Transit,2019,Published Confirmed,0,14.2767,0.1228,60.5,0.19
HD 221420 b,1,Radial Velocity,2019,Published Confirmed,0,10090.0,10.15,7278.2705203,22.9
HD 221585 b,1,Radial Velocity,2016,Published Confirmed,0,1173.0,2.306,511.7063,1.61
HD 222076 b,1,Radial Velocity,2016,Published Confirmed,0,871.0,1.83,495.8148,1.56
HD 222155 b,1,Radial Velocity,2011,Published Confirmed,0,3999.0,5.14,673.7996,2.12
HD 222237 b,1,Radial Velocity,2024,Published Confirmed,0,14892.0,10.8,1649.52943233,5.19
HD 222582 b,1,Radial Velocity,1999,Published Confirmed,0,572.38,1.34,2660.2371,8.37
HD 224018 b,1,Radial Velocity,2025,Published Confirmed,0,10.6413,0.0952,4.1,0.01290004
HD 224018 c,1,Transit,2025,Published Confirmed,0,36.57669,0.217,10.4,0.03272206
HD 224018 d,1,Transit,2025,Published Confirmed,0,138.0731,0.53,4.2,0.01321468
HD 224538 b,1,Radial Velocity,2016,Published Confirmed,0,1202.05199,2.375,2075.73732612,6.531
HD 224693 b,1,Radial Velocity,2006,Published Confirmed,0,26.6904,0.191,222.481,0.7
HD 22496 b,1,Radial Velocity,2021,Published Confirmed,0,5.09071,0.051,5.57,0.01752518
HD 22532 b,1,Radial Velocity,2022,Published Confirmed,0,872.6,1.9,673.79622284,2.12
HD 22781 b,1,Radial Velocity,2011,Published Confirmed,0,528.07,1.167,4338.2,13.65
HD 22946 d,1,Transit,2023,Published Confirmed,0,47.42489,0.2958,26.57,0.08359857
HD 23127 b,1,Radial Velocity,2006,Published Confirmed,0,1211.17,2.37,485.32641,1.527
HD 231701 b,1,Radial Velocity,2007,Published Confirmed,0,141.63,0.567,359.1479,1.13
HD 233604 b,1,Radial Velocity,2013,Published Confirmed,0,192.0,0.747,2089.644,6.575
HD 233832 b,1,Radial Velocity,2018,Published Confirmed,0,2058.0,2.827,565.7374,1.78
HD 23472 b,1,Transit,2019,Published Confirmed,0,17.667087,0.1162,8.32,0.02617765
HD 23472 c,1,Transit,2019,Published Confirmed,0,29.79749,0.1646,3.41,0.01072906
HD 23472 d,1,Transit,2022,Published Confirmed,0,3.97664,0.04298,0.55,0.00173049
HD 23472 e,1,Transit,2022,Published Confirmed,0,7.90754,0.068,0.72,0.00226537
HD 23472 f,1,Transit,2022,Published Confirmed,0,12.1621839,0.0906,0.77,0.00242269
HD 235088 b,1,Transit,2023,Published Confirmed,0,7.4341325,0.0706,4.15,0.01305736
HD 23596 b,1,Radial Velocity,2003,Published Confirmed,0,1535.11912,2.694,3786.607641,11.914
HD 238090 b,1,Radial Velocity,2020,Published Confirmed,0,13.671,0.0932,6.89,0.02167826
HD 238914 b,1,Radial Velocity,2018,Published Confirmed,0,4100.0,5.7,1906.98,6.0
HD 240210 b,1,Radial Velocity,2009,Published Confirmed,0,501.75,1.16,1655.82,5.21
HD 240237 b,1,Radial Velocity,2011,Published Confirmed,0,745.70001,1.92,5050.3187,15.89
HD 24040 b,1,Radial Velocity,2006,Published Confirmed,0,3668.0,4.92,1226.8238,3.86
HD 24040 c,1,Radial Velocity,2021,Published Confirmed,0,515.4,1.3,63.88350981,0.201
HD 24064 b,1,Radial Velocity,2015,Published Confirmed,0,535.59998,1.29,4096.8287,12.89
HD 24085 b,1,Radial Velocity,2019,Published Confirmed,0,2.0455,0.034,11.8,0.03712677
HD 25015 b,1,Radial Velocity,2019,Published Confirmed,0,6134.427,6.248,2884.92845034,9.077
HD 25171 b,1,Radial Velocity,2010,Published Confirmed,0,1802.29,2.971,290.81445,0.915
HD 25463 b,1,Transit,2023,Published Confirmed,0,7.0491423,0.076,8.7,0.02737326
HD 25463 c,1,Transit,2023,Published Confirmed,0,3.04405,0.0443,4.3,0.01352931
HD 25723 b,1,Radial Velocity,2020,Published Confirmed,0,457.01,1.49,794.5710175,2.5
HD 25912 b,1,Radial Velocity,2022,Published Confirmed,0,41.83156,0.242,38.13940884,0.12
HD 25912 c,1,Radial Velocity,2022,Published Confirmed,0,26308.65619,17.848,5252.75008249,16.527
HD 260655 b,1,Transit,2022,Published Confirmed,0,2.76953,0.02933,2.14,0.00673319
HD 260655 c,1,Transit,2022,Published Confirmed,0,5.70588,0.04749,3.09,0.00972223
HD 26161 b,1,Radial Velocity,2021,Published Confirmed,0,10942.29013,10.087,9045.39646322,28.46
HD 2638 b,1,Radial Velocity,2005,Published Confirmed,0,3.4442,0.04,133.4886,0.42
HD 2685 b,1,Transit,2019,Published Confirmed,0,4.12688,0.0568,371.8611,1.17
HD 27442 b,1,Radial Velocity,2000,Published Confirmed,0,428.1,1.271,495.8,1.56
HD 27631 b,1,Radial Velocity,2012,Published Confirmed,0,2198.14,3.242,474.83802,1.494
HD 27894 b,1,Radial Velocity,2005,Published Confirmed,0,18.01939,0.125,196.73578393,0.619
HD 27894 c,1,Radial Velocity,2017,Published Confirmed,0,36.07,0.198,51.48846,0.162
HD 27894 d,1,Radial Velocity,2017,Published Confirmed,0,5019.54244,5.362,2063.65984665,6.493
HD 27969 b,1,Radial Velocity,2021,Published Confirmed,0,654.5,1.552,1525.5763536,4.8
HD 28185 b,1,Radial Velocity,2001,Published Confirmed,0,385.92,1.034,1859.29618095,5.85
HD 28185 c,1,Radial Velocity,2022,Published Confirmed,0,9090.0,8.5,1906.970442,6.0
HD 28192 b,1,Radial Velocity,2022,Published Confirmed,0,14.23283,0.118,99.7981198,0.314
HD 28254 b,1,Radial Velocity,2010,Published Confirmed,0,1333.0,2.45,1207.7479466,3.8
