planet_name,default_flag,discovery_method,discovery_year,solution_type,pl_controv_flag,orbital_period_days,orbital_distance_au,planet_mass_earth,planet_mass_jupiter
BD-13 2130 b,1,Radial Velocity,2007,Published Confirmed,0,714.29999,1.66,3108.3774,9.78
BD-14 3065 b,1,Transit,2024,Published Confirmed,0,4.2889731,0.0656,3932.0,12.37
BD-210397 b,1,Radial Velocity,2023,Published Confirmed,0,1891.0,2.63,214.0,0.7
BD-210397 c,1,Radial Velocity,2023,Published Confirmed,0,6240.0,5.9,1525.5763536,4.8
BEBOP-3 b,1,Radial Velocity,2025,Published Confirmed,0,547.0,1.444,177.34825111,0.558
BEBOP-4 AB b,1,Radial Velocity,2025,Published Confirmed,0,1823.5,3.634,8358.8871041,26.3
Barnard b,1,Radial Velocity,2024,Published Confirmed,0,3.1542,0.0229,0.299,0.00094076
Barnard c,1,Radial Velocity,2025,Published Confirmed,0,4.1244,0.0274,0.335,0.00105403
Barnard d,1,Radial Velocity,2025,Published Confirmed,0,2.3402,0.0188,0.263,0.00082749
Barnard e,1,Radial Velocity,2025,Published Confirmed,0,6.7392,0.0381,0.193,0.00060725
CD Cet b,1,Radial Velocity,2020,Published Confirmed,0,2.2907,0.0185,3.95,0.01242809
CFBDSIR J145829+101343 b,1,Imaging,2011,Published Confirmed,0,10037.5,2.6,3337.1,10.5
CI Tau c,1,Radial Velocity,2024,Published Confirmed,0,25.2,0.17,1144.1822652,3.6
CWISEP J193518.59-154620.3 b,1,Imaging,2025,Published Confirmed,0,,2.48,4926.3403085,15.5
CoRoT-10 b,1,Transit,2010,Published Confirmed,0,13.2406,0.1055,874.0,2.75
CoRoT-11 b,1,Transit,2010,Published Confirmed,0,2.99433,0.0436,740.51,2.33
CoRoT-12 b,1,Transit,2010,Published Confirmed,0,2.828042,0.04016,291.438,0.917
CoRoT-13 b,1,Transit,2010,Published Confirmed,0,4.03519,0.051,415.704,1.308
CoRoT-14 b,1,Transit,2010,Published Confirmed,0,1.51214,0.027,2415.4,7.6
CoRoT-16 b,1,Transit,2011,Published Confirmed,0,5.35227,0.0618,170.032,0.535
CoRoT-17 b,1,Transit,2011,Published Confirmed,0,3.7681,0.0461,772.29,2.43
CoRoT-18 b,1,Transit,2011,Published Confirmed,0,1.9000693,0.0295,1102.82,3.47
CoRoT-19 b,1,Transit,2011,Published Confirmed,0,3.89713,0.0518,352.78,1.11
CoRoT-2 b,1,Transit,2008,Published Confirmed,0,1.7429935,0.02798,1102.82,3.47
CoRoT-20 b,1,Transit,2011,Published Confirmed,0,9.24285,0.09,1366.669,4.3
CoRoT-20 c,1,Radial Velocity,2018,Published Confirmed,0,1675.0,2.9,5403.11,17.0
CoRoT-21 b,1,Transit,2012,Published Confirmed,0,2.72474,0.0417,718.2958,2.26
CoRoT-22 b,1,Transit,2014,Published Confirmed,0,9.75598,0.092,12.2,0.038
CoRoT-23 b,1,Transit,2011,Published Confirmed,0,3.6313,0.048,889.9,2.8
CoRoT-24 b,1,Transit,2014,Published Confirmed,0,5.1134,0.056,5.7,0.018
CoRoT-24 c,1,Transit,2014,Published Confirmed,0,11.759,0.098,28.0,0.088
CoRoT-25 b,1,Transit,2013,Published Confirmed,0,4.86069,0.0578,85.81,0.27
CoRoT-26 b,1,Transit,2013,Published Confirmed,0,4.20474,0.0526,165.26,0.52
CoRoT-27 b,1,Transit,2014,Published Confirmed,0,3.57532,0.0476,3302.11,10.39
CoRoT-28 b,1,Transit,2015,Published Confirmed,0,5.20851,0.0603,153.82972,0.484
CoRoT-29 b,1,Transit,2015,Published Confirmed,0,2.85057,0.0386,270.1555,0.85
CoRoT-30 b,1,Transit,2020,Published Confirmed,0,9.06005,0.0844,921.707,2.9
CoRoT-31 b,1,Transit,2020,Published Confirmed,0,4.62941,0.0586,266.9772,0.84
CoRoT-32 b,1,Transit,2018,Published Confirmed,0,6.71837,0.071,47.6745,0.15
CoRoT-35 b,1,Transit,2022,Published Confirmed,0,3.22748,0.0429,349.6112477,1.1
CoRoT-36 b,1,Transit,2022,Published Confirmed,0,5.616531,0.066,216.12331676,0.68
CoRoT-4 b,1,Transit,2008,Published Confirmed,0,9.20205,0.09,228.83,0.72
CoRoT-5 b,1,Transit,2009,Published Confirmed,0,4.0378962,0.04947,148.42,0.467
CoRoT-6 b,1,Transit,2009,Published Confirmed,0,8.886593,0.0855,940.74,2.96
CoRoT-7 c,1,Radial Velocity,2009,Published Confirmed,0,3.698,0.046,8.4,0.02642922
CoRoT-8 b,1,Transit,2010,Published Confirmed,0,6.21229,0.063,69.92,0.22
CoRoT-9 b,1,Transit,2009,Published Confirmed,0,95.272656,0.4021,266.9772,0.84
DE CVn b,1,Eclipse Timing Variations,2018,Published Confirmed,1,4098.1,5.75,3823.27330161,12.02930278
DENIS-P J082303.1-491201 b,1,Astrometry,2013,Published Confirmed,0,246.36,0.36,9057.77,28.5
DMPP-1 b,1,Radial Velocity,2019,Published Confirmed,0,17.812,0.1423,16.8,0.05285871
DMPP-1 c,1,Radial Velocity,2019,Published Confirmed,0,10.03,0.0973,10.94,0.03442109
DMPP-1 d,1,Radial Velocity,2019,Published Confirmed,0,3.1417,0.04467,4.72,0.01485078
DMPP-1 e,1,Radial Velocity,2019,Published Confirmed,0,5.516,0.0651,4.13,0.01299437
DMPP-2 b,1,Radial Velocity,2019,Published Confirmed,0,5.203,0.06638,171.48,0.53953642
DMPP-2 c,1,Radial Velocity,2026,Published Confirmed,0,3.168,0.04789,51.79,0.16294956
DMPP-2 d,1,Radial Velocity,2026,Published Confirmed,0,16.491,0.1432,91.79,0.28880364
DMPP-3 A b,1,Radial Velocity,2019,Published Confirmed,0,5.59,0.05958,2.67,0.00840076
DMPP-4 b,1,Radial Velocity,2023,Published Confirmed,0,3.4982,0.04853,12.2,0.03838549
DMPP-6 b,1,Radial Velocity,2026,Published Confirmed,0,7.6027,0.0779,5.8,0.01824884
DMPP-6 c,1,Radial Velocity,2026,Published Confirmed,0,36.441,0.2206,13.47,0.04238136
DMPP-7 b,1,Radial Velocity,2026,Published Confirmed,0,4.984,0.05873,61.39,0.19315454
DMPP-8 b,1,Radial Velocity,2026,Published Confirmed,0,62.915,0.3098,81.09,0.25513767
DMPP-9 b,1,Radial Velocity,2026,Published Confirmed,0,12.733,0.1097,14.43,0.04540186
DP Leo b,1,Eclipse Timing Variations,2009,Published Confirmed,0,10220.0,8.19,1922.79,6.05
EPIC 201170410.02,1,Transit,2020,Published Confirmed,0,6.7987,0.0349,,
EPIC 201595106 b,1,Transit,2021,Published Confirmed,0,0.87724,0.0177,7.67,0.02413252
EPIC 201757695.02,1,Transit,2020,Published Confirmed,0,2.0478,0.0296,,
EPIC 201841433 b,1,Transit,2019,Published Confirmed,0,4.1698,0.035,,
EPIC 211822797 b,1,Transit,2016,Published Confirmed,0,21.1701963,0.1195,,
EPIC 211945201 b,1,Transit,2018,Published Confirmed,0,19.49221,0.1493,,
